V1Mint,CoreAsset,V1Name,CoreName,Method,V1Owner,CoreOwner,MigrationTx
9Nh9bY26YhhsnANxa2WNmWee6nCXoaagx7ER1K35TaCW,3TKkuE7vgBizBpNsdbWCnrVxALGsQwTUicq87TzqdfRv,Aurorian #3482,Aurorian #3482,trace,F7tXjs9H7bC1kpMFx9Lr6GiQkwWpWtZ7TKiQnYNyxHhm,3ULK2FbfgDJ8jFwvhpHCaBSBzCXxY3qdo4bRUQVkuVB4,KNJnPJHg3HtkD97urXstXsRcC69V3aDyaCR5Zu1Ae7KbhruhafZfKsLB6prtcb3cVNRff8DrcY3JKU6JBNkE2EX
X45Z7raSoBbCJsBemNbhnYqiBxVKtvposohgZ7ctB4X,J2kSagd7sfx6KVJByw2p3y1F1kaRLdDsbKo2jVRNGN7t,Aurorian #853,Aurorian #853,trace,3mESjFdPsfn7p4eHWEFPbxupg4uPbrTqwnBo5cHcFU63,9ZbjGVwvADQ8roWVYXywvut9Thmv5GwtZV2oCtiNuLqS,4yuqYA7dZ8Svc2fXzxJ5UXbwW8RvpxAuXim66NUCRqo7AaAjWgwz47LzX3Cqf1h6WtiDHT8xyAHahBvRJghugkns
ARcYsVqJLcY4csqwiGFXkL5k2vsYEK7o8t2ZrUmTLz7i,BtQVjLnkpTjFZ8ybNQoMXx4fvsY5hAGKaUEhdpTMYVik,Aurorian #2616,Aurorian #2616,trace,H8ierpEfSChieqGb8VDUGpPYDChevj2TJRsrUpuMvR8h,D5NVo4BcTXhs5cTmvUruNsiKcd698c12iphy5MpSGFv9,3t9bDEciney6q7DC674D7ztXfrqwkT1P5qiUATJaSLYcfFCN1bugBVonMcGAPSLfjJsAddrst4THMq8kPyreoDn4
8JgysHD9cJdPmn74QrLKXw3K8q2e1mN1SU48MQTDfWtq,7VwzkxMFZQTTes3MeaK3hVQpn2n45o4dCgmZ4uePEwpD,Aurorian #6584,Aurorian #6584,trace,4KkJAWHRLxZMqmnmDLrZY65yA9LBw9GEC9BP5CUovei9,CiS1udKWfC9tQqMLE2pDCryHMUyoCaL7PNWY3hm5o49x,43uGrQ4xEhj41LvmpiSJLyCCUFZ9uFWbNFWg8GYBr1tpGYYzDJvo1HVfZgD69CAswzNSL8xcj5dXM36QrN79F1uK
F3LLoWhz79qhBTKWTHL2rWb3Mz6wCZVtKUKJr6pVi1Ey,CtiyGFt15n5rXamP8ZPysufWR2Ln4f9gEbnNvZnoiZYh,Aurorian #6713,Aurorian #6713,failed-migration-tx,paurUkH96miLCY531mvt3Kmna7W9aD7x2zUijRHhEcG,5k15YfLg5TmTeVUAuxpQgK4r3Dzuu9ce6RwmKUdtDXYH,5Bofo8a1NNwnq7nMkhBuG9DotFhBYWQ4fdov4Xrek5793SZcV5qqQd8dURTBqXaZNDiqid5MxuksSGjwqbucVAKS
Gv8xXetgs6mZ442h5aCiUf5GC8VdcwUpoJj46rHA4bRs,4cdvbsimwyKxECFdaTcWMk4QCviVfyd4RJuJVJT5GcL5,Aurorian #4996,Aurorian #4996,trace,GdsgZoxUnD2F84rdsDMpx9n8nDJT9R2EWHb64jLc3QNL,8mdWvYHTwRdFL1af5RzzoFmp7Z3tXqRXFZrSY5GJXC3Z,4hmgmJfPtWPGgufZYR2hb1Rnw793HvWL4AWeh2HTDjUvYx2GwXHQnSmJiyLatvUbEYpUiP6yJAXBGig9RLGfnmna
5CsvtwfXt97RBrEJFXP5eyjpHtvqTuk1A8ezrfy5x4fR,4R8eHzsUPWfCMGap6Aoud5fQv6Znn3j2nSKPuZH8smv9,Aurorian #7889,Aurorian #7889,trace,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,5XH6NvFNxyDVBvRQDcufcTShXoXRrp36AwU6duewuTa2turaYSYfH2SSTE7rdUShp2iA7jChzDPsywQy77c2W9z1
HSMYQoWpvyEjQMPp43dt34H9sA3wDRh4EYLcn18xEN35,Gvcx5HaaBnztZBMF45CEmebtHaAhN8GnDcyFavEVUbZ2,Aurorian #7126,Aurorian #7126,trace,C7kJqPLcY4UNqRg9kr1aHPFEM5sLDDSGdRFq55fvnxot,CnTkAQdqLV6CYBfxEgzmsuXoCZiTfHR6x4SM7DeN2HcT,4B45Hps9WtFjJhoCemhY3nkc4WurF9iWUZ9Rfpnn8dK9DoskoosqEkNM48pnkcghqmfeCKg7SAkMesufkq3v8mMZ
FAnVHiks5PRPLqSrPXXV4yzsULs4v3eygCdfop8wWMwL,Gd5BBTV9AwX4GFEj5kKPAPmkQ36CD7Q5tCQkvHW4wp7c,Aurorian #7374,Aurorian #7374,trace,Ba9WfmSCASFg3b35ZkioG9FrhBqzZ2JQhWcArtDhMdNT,Ba9WfmSCASFg3b35ZkioG9FrhBqzZ2JQhWcArtDhMdNT,5mRbhhbFQ37GJn68U87hUSSSXtbjpp8UCyFWZVLZz1P2aCqds1kY4738Z2jcPnb98Boq1Diy8hR5xVmS9D9JjFR4
3Ao3ZLGArEWGM3eRKaJdKFndT8eG292xAATrq1KhvJsi,BsKKAp8Sunr57zU4V6LPmVjZZozJCdRG6oADdatxq25e,Aurorian #8170,Aurorian #8170,number,58WgRzeYwwpwdpgohUzLoQjTQsaEVWqGDXwita1WmcuC,qa9ZHBMtDVxgQWE3mNBjH8Pf4CeGAa33s5ZRotbympe,
GrWwES1jmNTN9HUsxfj4a3ozMTL46BL6Dd8z3ncr2kGG,BHe1QfNhJdM8vtzizRHWhGMP37Qp2wykF3SMWu9LUJS5,Aurorian #6656,Aurorian #6656,trace,auryHMdwKGnjU4ZBjtacvARm8DcAVgEzYDzzJvVFfE8,auryHMdwKGnjU4ZBjtacvARm8DcAVgEzYDzzJvVFfE8,26kz4Ajqe2Lzsgpzww9VP9LNySdXLPumpFVpVDdFFWBx3XEw7YsjuNXCRcEpvrdwgRrXLGGwArQcbyADU8NAxwgQ
5ZwFJJU3x1ARS1CRVbej7xSzeJLk5pUBSsUKMdQ56DhP,58niWjoR7i2SwGmAuJHuBm6TwrCMET29tJqyHcQhsk4h,Aurorian #5367,Aurorian #5367,trace,8uZoFc1JZNu1pkAz4MysUNxk7zc3w5v7UcWVh6Y8vYuv,8uZoFc1JZNu1pkAz4MysUNxk7zc3w5v7UcWVh6Y8vYuv,519NKNZ95oJRajqHGeQA41DJYoXjqk58eGWBRrgoVymFFZ22MDMpsxoot1CwfR36nL4jXnZ5U2zzHdHqYNQLsy9r
DtabiYw68BMA781q1sNQU2zZbaMixn9NxwKiBQkhZeGw,DeCoidy6DMY6ZnLJWRw6mpUwb41Lnjt7n2zPdpFwM3aV,Aurorian #6387,Aurorian #6387,trace,9ZtFPMqY8eD8Fq3o1L5qey8jQwmGtoV5zZHjeyTLXDY,9ZtFPMqY8eD8Fq3o1L5qey8jQwmGtoV5zZHjeyTLXDY,22LkqNDwmuz59CGzaqQ24sNnZVcJnZzkAaQWhjMWvSwjJz2MjA2KKGMwfuocr5ZE6JBq9wB8bVPRMhSBRUe2mrQT
DB1jbuwXPnP8WxyZ9BDaoK3QWMxwtDbhGLkfRTEx8E5,FgvmQL6bE36G2ruXoau5akfeNxZfTp9BntzMbe6wk6jJ,Aurorian #6535,Aurorian #6535,trace,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,Cpwn3bWJJcdKDecjALjtETD49VsK3XoFj7kiUSJG5dbw6y3ZgbpvK8Ch8Mt8AtBuTyaCTRDEJbcoXRd7UtVQVcr
766dDNWBhimQnv7BqSEsTcKneYd3scih7nurvuwMZnkC,3yVguBQT7Y6GZ5Xjz665Sx4ZwPkA6XBAQSr3bpKYYVrt,Aurorian #440,Aurorian #440,trace,H5aycBMkQ7p9cPZeyBa3DcGCmtdULz3RyVy8mABaijyQ,HBvKBYH8pT9HgvhEV4V7nASvAECaQUpKiaUiumKrJnF2,3ns8qW61rzsKrctpKqD79aWdd8B1uNj7FGiPBeiMqy2A9F8hcHpbYK7FbXGetRqVPo1A5X9agAokQa6Ut5oUhwYv
