V1Mint,CoreAsset,Aurorian,MintedAtUTC,MintedBy,MinterType,CandyMachine,HoursBeforePublicSale,V1OwnerNow,CoreOwnerNow,CoreOwnerType,CoreStatus,Note
F3LLoWhz79qhBTKWTHL2rWb3Mz6wCZVtKUKJr6pVi1Ey,CtiyGFt15n5rXamP8ZPysufWR2Ln4f9gEbnNvZnoiZYh,6713,2021-08-31 13:43,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,team-treasury,main,1.3,paurUkH96miLCY531mvt3Kmna7W9aD7x2zUijRHhEcG,5k15YfLg5TmTeVUAuxpQgK4r3Dzuu9ce6RwmKUdtDXYH,holder,syncspace,Team-treasury premint 1.3h before public sale via main candy machine. Core has since left team custody. v1 never retired (collection still verified).
8JgysHD9cJdPmn74QrLKXw3K8q2e1mN1SU48MQTDfWtq,7VwzkxMFZQTTes3MeaK3hVQpn2n45o4dCgmZ4uePEwpD,6584,2021-08-31 13:43,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,team-treasury,main,1.3,4KkJAWHRLxZMqmnmDLrZY65yA9LBw9GEC9BP5CUovei9,CiS1udKWfC9tQqMLE2pDCryHMUyoCaL7PNWY3hm5o49x,holder,syncspace,Team-treasury premint 1.3h before public sale via main candy machine. Core has since left team custody.
Gv8xXetgs6mZ442h5aCiUf5GC8VdcwUpoJj46rHA4bRs,4cdvbsimwyKxECFdaTcWMk4QCviVfyd4RJuJVJT5GcL5,4996,2021-08-31 13:44,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,team-treasury,main,1.3,GdsgZoxUnD2F84rdsDMpx9n8nDJT9R2EWHb64jLc3QNL,8mdWvYHTwRdFL1af5RzzoFmp7Z3tXqRXFZrSY5GJXC3Z,holder,free,Team-treasury premint 1.3h before public sale via main candy machine. Core has since left team custody.
5CsvtwfXt97RBrEJFXP5eyjpHtvqTuk1A8ezrfy5x4fR,4R8eHzsUPWfCMGap6Aoud5fQv6Znn3j2nSKPuZH8smv9,7889,2021-08-31 13:44,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,team-treasury,main,1.3,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,65NtRpPYzrgR3gevbj6wxAzKX6aD2b9MpSFRxPhwTwUe,holder,listed:magic-eden,Team-treasury premint 1.3h before public sale via main candy machine. Core has since left team custody.
HSMYQoWpvyEjQMPp43dt34H9sA3wDRh4EYLcn18xEN35,Gvcx5HaaBnztZBMF45CEmebtHaAhN8GnDcyFavEVUbZ2,7126,2021-08-31 13:45,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,team-treasury,main,1.2,C7kJqPLcY4UNqRg9kr1aHPFEM5sLDDSGdRFq55fvnxot,CnTkAQdqLV6CYBfxEgzmsuXoCZiTfHR6x4SM7DeN2HcT,holder,syncspace,Team-treasury premint 1.2h before public sale via main candy machine. Core has since left team custody.
FAnVHiks5PRPLqSrPXXV4yzsULs4v3eygCdfop8wWMwL,Gd5BBTV9AwX4GFEj5kKPAPmkQ36CD7Q5tCQkvHW4wp7c,7374,2021-08-31 13:45,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,team-treasury,main,1.2,Ba9WfmSCASFg3b35ZkioG9FrhBqzZ2JQhWcArtDhMdNT,Ba9WfmSCASFg3b35ZkioG9FrhBqzZ2JQhWcArtDhMdNT,holder,free,Team-treasury premint 1.2h before public sale via main candy machine. Core has since left team custody.
3Ao3ZLGArEWGM3eRKaJdKFndT8eG292xAATrq1KhvJsi,BsKKAp8Sunr57zU4V6LPmVjZZozJCdRG6oADdatxq25e,8170,2021-08-31 13:46,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,team-treasury,main,1.2,58WgRzeYwwpwdpgohUzLoQjTQsaEVWqGDXwita1WmcuC,qa9ZHBMtDVxgQWE3mNBjH8Pf4CeGAa33s5ZRotbympe,holder,free,Team-treasury premint 1.2h before public sale via main candy machine. Core has since left team custody. v1 never retired (collection still verified).
GrWwES1jmNTN9HUsxfj4a3ozMTL46BL6Dd8z3ncr2kGG,BHe1QfNhJdM8vtzizRHWhGMP37Qp2wykF3SMWu9LUJS5,6656,2021-08-31 13:46,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,team-treasury,main,1.2,auryHMdwKGnjU4ZBjtacvARm8DcAVgEzYDzzJvVFfE8,auryHMdwKGnjU4ZBjtacvARm8DcAVgEzYDzzJvVFfE8,team-likely,free,Team-treasury premint 1.2h before public sale via main candy machine. Core still in a team wallet (team-likely).
5ZwFJJU3x1ARS1CRVbej7xSzeJLk5pUBSsUKMdQ56DhP,58niWjoR7i2SwGmAuJHuBm6TwrCMET29tJqyHcQhsk4h,5367,2021-08-31 13:46,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,team-treasury,main,1.2,8uZoFc1JZNu1pkAz4MysUNxk7zc3w5v7UcWVh6Y8vYuv,8uZoFc1JZNu1pkAz4MysUNxk7zc3w5v7UcWVh6Y8vYuv,holder,free,Team-treasury premint 1.2h before public sale via main candy machine. Core has since left team custody.
DB1jbuwXPnP8WxyZ9BDaoK3QWMxwtDbhGLkfRTEx8E5,FgvmQL6bE36G2ruXoau5akfeNxZfTp9BntzMbe6wk6jJ,6535,2021-08-31 13:47,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,team-treasury,main,1.2,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,team-treasury,free,Team-treasury premint 1.2h before public sale via main candy machine. Core still in a team wallet (team-treasury).
DtabiYw68BMA781q1sNQU2zZbaMixn9NxwKiBQkhZeGw,DeCoidy6DMY6ZnLJWRw6mpUwb41Lnjt7n2zPdpFwM3aV,6387,2021-08-31 13:47,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,team-treasury,main,1.2,9ZtFPMqY8eD8Fq3o1L5qey8jQwmGtoV5zZHjeyTLXDY,9ZtFPMqY8eD8Fq3o1L5qey8jQwmGtoV5zZHjeyTLXDY,holder,free,Team-treasury premint 1.2h before public sale via main candy machine. Core has since left team custody.
766dDNWBhimQnv7BqSEsTcKneYd3scih7nurvuwMZnkC,3yVguBQT7Y6GZ5Xjz665Sx4ZwPkA6XBAQSr3bpKYYVrt,440,2021-08-31 13:48,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,team-treasury,main,1.2,H5aycBMkQ7p9cPZeyBa3DcGCmtdULz3RyVy8mABaijyQ,HBvKBYH8pT9HgvhEV4V7nASvAECaQUpKiaUiumKrJnF2,holder,syncspace,Team-treasury premint 1.2h before public sale via main candy machine. Core has since left team custody.
