asset,owner
21ETnK1VTFJJbZx9ioUg1okNTETnVHVRLttwzr2FX5WY,ChcVEorZQJTe4dT41e5xPK6tVqoX7k7BqNqqGCuLcw4N
21Hiq5ucCsRmmExXnrMofvp4Tso5KtbDEsg4utq9pREs,4PEk17CN1AT5nJ6bUBd4GmPqrnaT21FsETRe1SRy1531
21ZYuL2raLkn9oucdFtfFmFJJQdGTqn8ApNa2XyaqbCx,5aqRD3pYWuQ7cWVpf7xegaHxZizw36giH1ZGLReVwAK8
21dzL43k7JuVhTs2cooKDrwgytWoq6vfLsE79cRZHE1N,HCWQuh29WhHNkTam3vrV2DrWuBDyHzcSVDrLAgo2pph6
21mz15zNwgm4tpnBXJXaSoAnyjyuhdcYGEmEResfWuAD,FNXmUoYirKfhgeD3s9yBupHdxnMKXtkisNUmD78rSiuq
21r6pg6Zcnxqybf6KC2mQo9pDr9u1vKp4sZL9Fm6MmaM,H5WTxP3p2rMeSNk6a9rpsVmi4LMoaerQWQBbLWBfifoT
21sVVtcqJQKsqVD8WQ3ET9dJiGNYsry43Ei7EbTvwLdx,6Z6PsSvbQHndjqNTFZUEYLpouFcExYxaceCHAyHGNgMc
21vEm6biB1NiVckiDvByg93GX7ZpSNduXqFMj45ffVwH,4eVcByLcXGavuwEBzJuyPGH6mUzrJr4u6kcdhy6ZJEno
22Q914FEAX7UB1QMyY58zXB7TiBwi9QhSuNWu1aafDnf,HJdF2SQmVonKVmsYcSUMkmn3gbzVR9TSrABens94fY2h
22So4h3JdrcaFoeyyrDmBGgLx2aBEFLnGuG4nAVzb2nz,22Pmtk76RSr3gMMeJ9U4y3Qg8uK5xBr5GA3pBd25U8rD
22Uug9oTLpNsxb4WmdrAxixjnv9EwcEShYPxFy9Vkiiy,H8wdGRM4ScrJkiYUJ8aE6wKNTjY6xoJD3gWNqSms3xSW
22guHwGZHRXbTbPw7axaSn5ds6XhNuhkZFSnYuyysVbL,5wceam6f3i2PNykKQkomeord2dhxsmyTEaEFxVLVaegM
22rkDPWZMPb6KpDFp4BhFYPDmaJMnoq9D1vuPckJ6g2n,CqA42zXaf5zXk7EW7jtCLfL2uH1efuB9GtTfjfJ2hzoq
22wVJ8wnzLDKiHT3XrAAmDy93eYkCeZdYg5aNQXLb1TB,6pAKAexmPp2fG7U4BriWaNeHqo43qqQ2hwbFwSbpU6Wp
233db317asgaxwLz33qTSgtwaPcTjyw6NmyqWHHomRF7,752PceNPifg9Ztm148mRqzzxAsYJPBWoE5TA5H5ke8UH
2347w5jCbbUYvs4PQsnT3LbdAPjNbRbkjT4nM4E1GvGu,5k15YfLg5TmTeVUAuxpQgK4r3Dzuu9ce6RwmKUdtDXYH
23JMKuaMiVsxMEZwRzoqEimwApo63LTiBgaUa9Vo8Enb,Fa8TzVCkeQd7ZMcGNZEvC3kvSKtxMymdv1gCVZoPexuW
23ZGf5TUVr6aVSwt2UucoUBruX7xvYvd8EfrLQmx4aYZ,aumuHzMdUFiFCvJ7kk1djU4CViSzxJk3FjXTXgvdNZn
23ZV8r37PE2abaPMNMFgaQh9aqsQKbCLycE8G4CdEoyd,2rrky9PNB2Ei4yQBbuRhZynvsrV3usr7X9cCwAo6BNZQ
23xHLwfPkRhFP6abArSXpsN4JM9AVAMKhsn6Rhy5YL6z,G43e2oSgeTEaxN3vc9iCKUg2AXaNhfs6KtRwoxgZ6qdP
24WiTmtiGekwZPmxeLkTNVnhLA3D6bZwPZFn4cGmD96q,9J3SZEft84mev5fGA4ZcEsF7MHyHZQ9bG1tLKYTVczTN
24XvDXKYQ9C8SNaeY7CzLbGE4mCb5eeEX8TFZL67sbCV,CtWmShhjxjCfKHzkupWro7gcMpTw6paCAVAvLmW5JnbH
24Y74BjsFX7AeqVMr24qvvtfgeJvo8vyhPdV1Tr5JK8Y,HTX9BkwYdwmH3xPVAyaiVC8pVusCp4gDWTqwLwzCM1bx
24byJafecoUA6k6a7pP25y6pfnCTLuW7kerh7uCWkHVr,AwcbpyGPiNdPrtoBd8UpyLNF5EaszrhXoKqcqqDoHYp6
24cViVLvrciJhvFdnjv1shmvQy1yiwVGDjJpHYMjvvJf,FRnFVoakjCChVX5DSSfoyKtTqod36uQyB7deXqNB7XYG
24pjPE6m6C2JYUnDcDSX1Gst7uam9bj38snQoPhanEJP,9BRS7c1XQMir78CYqVzGvtLJUuSd7JxrRat7xMN9Gxy8
24wWqxoUgA6gmheYxpvJfD3pyCMM5CVvbXrSwpnGbkxR,FnJp3dfA7XzCfxcJCvfitUqNq3vXKrxB4fKmrh63cRy3
24zHKD8J5DhReLdapwuTgeC3wTtuYprbpCbPgGJCLDRK,4ziindZgFPAHd69ukoH7vg6szMfXmEfRLrXPWVw4ejfL
25TDMHtKMxdueEDNvfAR8efZ6udhHQMgYjBP7gv33rTF,7A2vodKtjnQi8jeG9pFXXQFk7yY5Qk7E47FFjarhumU6
