Mint,Owner,Note
JATmoKgQrpKy419S8Axp7SXR7QmnFnLz7PbjYWW2azvP,32iwnvXyqWinZzuHpAinZvamrqmKDj6cFcVVzjakMPZN,
JAMepiesEVyp9QFjh5abZqVs4w85gquPY9vYS9r8tw1Q,HTX9BkwYdwmH3xPVAyaiVC8pVusCp4gDWTqwLwzCM1bx,syncspace
JAJRkz6NbTULbrKnFeUYk8BngmLWrcToaEMNeBbTsQ2Z,3j55KjrSyyegk9r8gGNNr4Np7oQaktPr4wWh7DVu62Po,syncspace
JACEXqnkvxmm1ge7AvjXk3tjxwNnB2MThQquVcyvRr9v,ECrCEVZ9Bqj9EuRJr5wW1A11aV5ctrHbqyJXcEX7swwJ,
JA68SvPo12g4yRCqSHgVKCf4h4E1NgggUWnN3dJfae8r,13XccmdeRUwxSCE9JyJ1Ae6Yj64jAH1QGeKN8S2fdYCH,
JA5p7EkvVpDrAiHNEZyiReXcJHSxSjVHYgCZLveTtjUS,D6v6LPabnCVHGJ18JZw3JPfZAzuuAENFhpscAJTESStu,
JA4sw4EL8p1STmCAX4H9ZbgUXVoVfhHdGetWogqiSUCV,4extyCkgacZWyexKQ1W3857YovoEnKMrBqCXnA2Y2pyY,listed:tensor
J9xgiBp3xhUHhD6oy4EGztuTcqSwLXZUM4dLqeVdNQs3,An8qeogydFKBMJTVmyjbUcPbSEPLWeHx9B6abKEQQ1VL,
J9ryPMgqjdYvqPxDL2u9mLpFHh8Rq1z9kSTAEjyahFYd,auryHMdwKGnjU4ZBjtacvARm8DcAVgEzYDzzJvVFfE8,
J9noYSH1jipL8Xg7geZCcfEaKg6fR6WbjR6HpxbdYifX,HNHAvcYq31VPR5T8urJYRyza4t3viFfr9R4BhPdYmokL,
J9VD4hBCjTCKSjz3eoQZAUfVXyM3qBtzHNcy9ABSXzzW,6zuV4G62G3ViWa1rm3rL96Jvtik3ZbmjbjVdDxkoJb5Q,syncspace
J9UudzHCvz5q7UzYLdqdUPoAs3BCtUgCGRBsYnzdo21z,DyTwpbkk3eKMMKFv3hhUyGqmWBKamWi1TKSeaSBDQPht,syncspace
J9PHoVT3yBdS14nkDgL3hrPskcrbcemJezA477sdpiRa,6VJ6rrnvRXgajUrHSt2d3f1EKncwTCTBF3rtAZSMSYf5,syncspace
J9GXmA8GwJ9MMtWyX5iu7rfJuLLBC4L827hAS6pykGbP,83fPqp5fPCfPrvT7nNcQRqncNiDRmDq7qDJ1KYhBqX2P,
J9EUACoYS144wSAtMySEgxUHnCx3kjj28mcjFZeBUuur,9ZuAkjidZRDa9NHHrQAhrzJSvev8sPLBVv1j5Ye6M8Fn,syncspace
J9Dx2nHwaANgNZtov8fHRsJXmNKF2ct7zosoRLTNxpqk,AkHTrLH3yCgXJh31Tb8UhQJxJKJFDpUND14ZfUzvsRG2,syncspace
J98XcKC1PdQDZb8Z9Hov1ydRLz4BJBWY8PwPxpMVNumw,3R5yQyhgyCCHSKNcKPZvQYQzsyhywv3bXzg9hTN4g3LC,
J8s1Jk4tgoMfRbczQCGaiU9KyPxUH276wnuttRKN6nCF,5zmHu4Tx2j4QojRhQZNb7H6QfvKnC3xxmUL6D2W31Dni,
J8rHbXHXN1YbLv9h4XnJC9SpFSDF5vkLPs3sdHraHxMY,ARwTNvpgeyLvZbSMQeBb4PbqdaX6ny4nkeQAvhcECSFi,syncspace
J8pksJQ2TuGxxXJPYw5PZTJ1pPG9bCjpUGVaUAZxSWDj,5wceam6f3i2PNykKQkomeord2dhxsmyTEaEFxVLVaegM,syncspace
J8jusi1mg3TCjMuwW2Z1anFtRJWiUF3geqY18aqqNEPK,58R1bsLU6DFV2M5G2nCtQpneffyT3FptkdCjhY3hFdy2,
J8hB8Ktp5CCZRePwjZ2Fede9SyA3yfUj78ZbfXfPYJGQ,5hJJa8FtvRtYgnwSsExddFZpeAbVTA14s9D6e4aNmZN3,
J8NmafLYsNTPs9CqZ79xCZ9H84jhuKXZfCPjeLm86sV7,8A2vh4YicVc9TPbzgvZz3hn95t4MkWTn8RshR2i1dsfB,
J8NAHU6TpibjGbK7vM6bgXeD57nTQjwaSXsb7usPf4qE,FVM1AKiA8qoETjdHEQ6aUDsU7Z99FPGTtVeeQPkkWhgm,
J8L91uW1jvQAnNTT88UskW6ZieeKnGR1HttodhRq4jYn,CiS1udKWfC9tQqMLE2pDCryHMUyoCaL7PNWY3hm5o49x,syncspace
J8KcCyXqgBQox94bM1m5hE4uc8qqVwkTqdmNw9WKf1af,4U7tf3ChxC8mr3KHWnkV2bE2ogBJK6q8LHLvU1F9BhKa,
J7vwvM3rZcCbRb7n25JHBr28UbgCWAL7mvdyxKG7VGed,HLQQovWxjd4XED8vzCUyyz72eaWW7NJd5MdE3iv1L2iL,syncspace
J7odL86sJjjbpdTuxvWmxWKcXKzRg2JBoTVKd3dFYxnf,2inSYP8z3VFmQtGSD7LSxb99EBifaYxEpoH3bPpduzye,
J7LaUFnT2JCRa4Svtp1V3bY9WeE51E8M4TfdLugpKvxF,7ugN168HdpVVfLidU9rYDBkYedz5HDv9xYpUdifZSQsQ,syncspace
J76ETw9t4LrjL3GQWvWoXJT2e4wCAyanSZiqM22LLQFr,EXMPwt69N8nw2gnyWY6oxJ6WHUPCBrLFurxh8aABYbgD,
J75w2JqBnH82kgYtfw8t5LPY5duw82x5yxNYK4wxYP8a,BrcT4uNv1j3mYzkdMfaNrL3S8Ejt2TELdKrYhwHMcJEc,
J75gAgLQ2dyuAMtuwEkXSbS7pquMfyKzRbomNHrbAoJp,BnT4HVUGpsrsTHGJ6LUWwacuENbCSctxg1Xii4bmS1dJ,
J6oYmTAjcGYtBa5M39BdzFpwa7LcXzbR7iyJBQrQcjte,G43e2oSgeTEaxN3vc9iCKUg2AXaNhfs6KtRwoxgZ6qdP,
J6afZy1f4j4Vz4Q9XU9BjJip7XM2AbsY8Gzsa9qu5Djq,auryHMdwKGnjU4ZBjtacvARm8DcAVgEzYDzzJvVFfE8,
